"query"	"significant"	"p_value"	"term_size"	"query_size"	"intersection_size"	"precision"	"recall"	"term_id"	"source"	"term_name"	"effective_domain_size"	"source_order"
"1"	"query_1"	TRUE	3.96549890051411e-72	2683	2124	565	0.266007532956685	0.210585165859113	"GO:0002376"	"GO:BP"	"immune system process"	21128	931
"2"	"query_1"	TRUE	4.71950671427387e-71	6348	2124	1017	0.478813559322034	0.160207939508507	"GO:0048518"	"GO:BP"	"positive regulation of biological process"	21128	13622
"3"	"query_1"	TRUE	1.76316505073787e-65	3998	2124	723	0.340395480225989	0.180840420210105	"GO:0048583"	"GO:BP"	"regulation of response to stimulus"	21128	13677
"4"	"query_1"	TRUE	2.98401444881598e-63	11139	2124	1490	0.7015065913371	0.133764251728162	"GO:0050794"	"GO:BP"	"regulation of cellular process"	21128	14091
"5"	"query_1"	TRUE	1.50510977818865e-60	1493	2124	366	0.172316384180791	0.245144005358339	"GO:0002682"	"GO:BP"	"regulation of immune system process"	21128	1225
"6"	"query_1"	TRUE	1.56946135800939e-60	3980	2124	708	0.333333333333333	0.177889447236181	"GO:0006950"	"GO:BP"	"response to stress"	21128	2656
"7"	"query_1"	TRUE	3.79755384031079e-60	5657	2124	908	0.427495291902072	0.160509103765247	"GO:0048522"	"GO:BP"	"positive regulation of cellular process"	21128	13626
"8"	"query_1"	TRUE	1.09303314564282e-58	9039	2124	1270	0.597928436911488	0.140502267949994	"GO:0050896"	"GO:BP"	"response to stimulus"	21128	14175
"9"	"query_1"	TRUE	1.04786579737508e-56	1922	2124	423	0.199152542372881	0.220083246618106	"GO:0006955"	"GO:BP"	"immune response"	21128	2660
"10"	"query_1"	TRUE	2.29379235019674e-54	5482	2124	871	0.410075329566855	0.158883619117111	"GO:0019538"	"GO:BP"	"protein metabolic process"	21128	6224
"11"	"query_1"	TRUE	7.62037771701578e-53	3857	2124	672	0.31638418079096	0.174228675136116	"GO:0009893"	"GO:BP"	"positive regulation of metabolic process"	21128	3847
"12"	"query_1"	TRUE	3.06176337053194e-52	7491	2124	1088	0.512241054613936	0.145240955813643	"GO:0051716"	"GO:BP"	"cellular response to stimulus"	21128	14782
"13"	"query_1"	TRUE	3.15516319690985e-52	6538	2124	984	0.463276836158192	0.150504741511165	"GO:1901564"	"GO:BP"	"organonitrogen compound metabolic process"	21128	22679
"14"	"query_1"	TRUE	7.62780386127923e-50	3540	2124	624	0.293785310734463	0.176271186440678	"GO:0010604"	"GO:BP"	"positive regulation of macromolecule metabolic process"	21128	4369
"15"	"query_1"	TRUE	4.14672797217972e-48	1791	2124	385	0.181261770244821	0.214963707426019	"GO:0006952"	"GO:BP"	"defense response"	21128	2657
"16"	"query_1"	TRUE	5.36201819149045e-48	1724	2124	375	0.176553672316384	0.217517401392111	"GO:0044419"	"GO:BP"	"biological process involved in interspecies interaction between organisms"	21128	11726
"17"	"query_1"	TRUE	4.64103768969077e-47	12378	2124	1558	0.733521657250471	0.125868476328971	"GO:0050789"	"GO:BP"	"regulation of biological process"	21128	14087
"18"	"query_1"	TRUE	1.80660719769692e-46	999	2124	260	0.12241054613936	0.26026026026026	"GO:0045321"	"GO:BP"	"leukocyte activation"	21128	12125
"19"	"query_1"	TRUE	2.0136230364547e-46	1598	2124	353	0.166195856873823	0.22090112640801	"GO:0009607"	"GO:BP"	"response to biotic stimulus"	21128	3628
"20"	"query_1"	TRUE	2.24144174621444e-46	12926	2124	1606	0.756120527306968	0.12424570632833	"GO:0065007"	"GO:BP"	"biological regulation"	21128	16927
"21"	"query_1"	TRUE	5.33846184260102e-46	2267	2124	447	0.21045197740113	0.197176885752095	"GO:0048584"	"GO:BP"	"positive regulation of response to stimulus"	21128	13678
"22"	"query_1"	TRUE	5.97926972671636e-46	1060	2124	269	0.126647834274953	0.25377358490566	"GO:0002684"	"GO:BP"	"positive regulation of immune system process"	21128	1227
"23"	"query_1"	TRUE	2.42782909333969e-45	1560	2124	345	0.162429378531073	0.221153846153846	"GO:0043207"	"GO:BP"	"response to external biotic stimulus"	21128	11221
"24"	"query_1"	TRUE	3.08586944278293e-45	1441	2124	327	0.153954802259887	0.226925746009715	"GO:0080134"	"GO:BP"	"regulation of response to stress"	21128	18942
"25"	"query_1"	TRUE	4.34175615696851e-45	1557	2124	344	0.16195856873823	0.220937700706487	"GO:0051707"	"GO:BP"	"response to other organism"	21128	14777
"26"	"query_1"	TRUE	4.66587072206372e-45	2664	2124	498	0.234463276836158	0.186936936936937	"GO:0010033"	"GO:BP"	"response to organic substance"	21128	3939
"27"	"query_1"	TRUE	5.25798683980136e-45	901	2124	241	0.11346516007533	0.267480577136515	"GO:0050776"	"GO:BP"	"regulation of immune response"	21128	14079
"28"	"query_1"	TRUE	6.36850761558911e-45	2697	2124	502	0.236346516007533	0.186132740081572	"GO:0070887"	"GO:BP"	"cellular response to chemical stimulus"	21128	17415
"29"	"query_1"	TRUE	7.84255767234906e-44	1142	2124	278	0.130885122410546	0.243432574430823	"GO:0001775"	"GO:BP"	"cell activation"	21128	461
"30"	"query_1"	TRUE	3.12241530600998e-43	4755	2124	752	0.354048964218456	0.158149316508938	"GO:0048523"	"GO:BP"	"negative regulation of cellular process"	21128	13627
"31"	"query_1"	TRUE	1.49541621400791e-42	2861	2124	517	0.243408662900188	0.18070604683677	"GO:0009605"	"GO:BP"	"response to external stimulus"	21128	3626
"32"	"query_1"	TRUE	6.74888959966236e-42	1993	2124	399	0.187853107344633	0.200200702458605	"GO:0071310"	"GO:BP"	"cellular response to organic substance"	21128	17637
"33"	"query_1"	TRUE	8.19513368515018e-42	5653	2124	851	0.400659133709981	0.150539536529276	"GO:0031323"	"GO:BP"	"regulation of cellular metabolic process"	21128	7549
"34"	"query_1"	TRUE	1.34411949394293e-41	2560	2124	475	0.223634651600753	0.185546875	"GO:0051246"	"GO:BP"	"regulation of protein metabolic process"	21128	14445
"35"	"query_1"	TRUE	3.97764947803756e-41	914	2124	236	0.111111111111111	0.258205689277899	"GO:0034097"	"GO:BP"	"response to cytokine"	21128	8894
"36"	"query_1"	TRUE	5.69059653413399e-41	5882	2124	874	0.411487758945386	0.14858891533492	"GO:0080090"	"GO:BP"	"regulation of primary metabolic process"	21128	18924
"37"	"query_1"	TRUE	7.0430097404917e-41	2113	2124	413	0.194444444444444	0.195456696639849	"GO:0008219"	"GO:BP"	"cell death"	21128	3234
"38"	"query_1"	TRUE	2.18643830774809e-40	838	2124	222	0.104519774011299	0.26491646778043	"GO:0046649"	"GO:BP"	"lymphocyte activation"	21128	13073
"39"	"query_1"	TRUE	2.48594148831977e-40	5724	2124	854	0.402071563088512	0.149196366177498	"GO:0051171"	"GO:BP"	"regulation of nitrogen compound metabolic process"	21128	14399
"40"	"query_1"	TRUE	4.05283428506839e-40	2667	2124	485	0.22834274952919	0.181852268466442	"GO:0035556"	"GO:BP"	"intracellular signal transduction"	21128	9639
"41"	"query_1"	TRUE	6.99189028300923e-40	3378	2124	575	0.270715630885122	0.170219064535228	"GO:0023051"	"GO:BP"	"regulation of signaling"	21128	7036
"42"	"query_1"	TRUE	7.75694774487622e-40	7386	2124	1035	0.48728813559322	0.140129975629569	"GO:0019222"	"GO:BP"	"regulation of metabolic process"	21128	5935
"43"	"query_1"	TRUE	8.34376352217678e-40	1221	2124	282	0.132768361581921	0.230958230958231	"GO:0098542"	"GO:BP"	"defense response to other organism"	21128	19979
"44"	"query_1"	TRUE	3.87934048709017e-39	3388	2124	574	0.270244821092279	0.169421487603306	"GO:0010646"	"GO:BP"	"regulation of cell communication"	21128	4410
"45"	"query_1"	TRUE	1.17402289932147e-37	6573	2124	939	0.442090395480226	0.142857142857143	"GO:0007154"	"GO:BP"	"cell communication"	21128	2797
"46"	"query_1"	TRUE	2.0813646990281e-37	734	2124	199	0.0936911487758945	0.271117166212534	"GO:0001817"	"GO:BP"	"regulation of cytokine production"	21128	495
"47"	"query_1"	TRUE	2.13982755808602e-37	740	2124	200	0.0941619585687382	0.27027027027027	"GO:0001816"	"GO:BP"	"cytokine production"	21128	494
"48"	"query_1"	TRUE	7.50810721075331e-37	1948	2124	380	0.178907721280603	0.195071868583162	"GO:0012501"	"GO:BP"	"programmed cell death"	21128	4716
"49"	"query_1"	TRUE	9.02126131495307e-37	2991	2124	517	0.243408662900188	0.172851889000334	"GO:0009966"	"GO:BP"	"regulation of signal transduction"	21128	3898
"50"	"query_1"	TRUE	1.05742602592303e-36	452	2124	147	0.0692090395480226	0.325221238938053	"GO:0002831"	"GO:BP"	"regulation of response to biotic stimulus"	21128	1367
"51"	"query_1"	TRUE	1.30334462227161e-36	6462	2124	923	0.434557438794727	0.142835035592696	"GO:0023052"	"GO:BP"	"signaling"	21128	7037
"52"	"query_1"	TRUE	3.76701595242993e-36	718	2124	194	0.0913370998116761	0.270194986072423	"GO:0031347"	"GO:BP"	"regulation of defense response"	21128	7572
"53"	"query_1"	TRUE	1.84749265330276e-35	6012	2124	869	0.409133709981168	0.144544244843646	"GO:0007165"	"GO:BP"	"signal transduction"	21128	2808
"54"	"query_1"	TRUE	2.73109159802735e-35	3154	2124	533	0.250941619585687	0.168991756499683	"GO:0051173"	"GO:BP"	"positive regulation of nitrogen compound metabolic process"	21128	14401
"55"	"query_1"	TRUE	1.18156247955988e-34	3649	2124	592	0.278719397363465	0.162236229103864	"GO:0036211"	"GO:BP"	"protein modification process"	21128	10066
"56"	"query_1"	TRUE	2.09442668917968e-34	978	2124	233	0.10969868173258	0.238241308793456	"GO:0045087"	"GO:BP"	"innate immune response"	21128	12034
"57"	"query_1"	TRUE	2.47782631657584e-34	1894	2124	366	0.172316384180791	0.19324181626188	"GO:0006915"	"GO:BP"	"apoptotic process"	21128	2636
"58"	"query_1"	TRUE	5.035629540755e-34	3873	2124	617	0.290489642184557	0.159308029950942	"GO:0043412"	"GO:BP"	"macromolecule modification"	21128	11326
"59"	"query_1"	TRUE	7.00845242617994e-34	1030	2124	240	0.112994350282486	0.233009708737864	"GO:0032101"	"GO:BP"	"regulation of response to external stimulus"	21128	7816
"60"	"query_1"	TRUE	8.73925013125339e-34	823	2124	207	0.0974576271186441	0.251518833535844	"GO:0071345"	"GO:BP"	"cellular response to cytokine stimulus"	21128	17669
"61"	"query_1"	TRUE	9.93498265998156e-34	3097	2124	521	0.245291902071563	0.168227316758153	"GO:0031325"	"GO:BP"	"positive regulation of cellular metabolic process"	21128	7551
