name	descr	pvalue	qvalue
CELLULAR RESPONSE TO LECTIN%GOBP%GO:1990858	CELLULAR RESPONSE TO LECTIN%GOBP%GO:1990858	2.07e-09	9.21357e-06
RESPONSE TO LECTIN%GOBP%GO:1990840	RESPONSE TO LECTIN%GOBP%GO:1990840	2.07e-09	9.21357e-06
STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002223	STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002223	2.07e-09	9.21357e-06
BIOCARTA_PAR1_PATHWAY%MSIGDB_C2%BIOCARTA_PAR1_PATHWAY	BIOCARTA_PAR1_PATHWAY%MSIGDB_C2%BIOCARTA_PAR1_PATHWAY	4.21e-09	1.219574e-05
HEME BIOSYNTHESIS%BIOCYC%PWY-5920	HEME BIOSYNTHESIS%BIOCYC%PWY-5920	4.65e-09	1.219574e-05
MUSCLE MYOSIN COMPLEX%GOCC%GO:0005859	MUSCLE MYOSIN COMPLEX%GOCC%GO:0005859	5.48e-09	1.219574e-05
REGULATION OF LYSOSOME ORGANIZATION%GOBP%GO:1905671	REGULATION OF LYSOSOME ORGANIZATION%GOBP%GO:1905671	8.45e-09	1.61189785714286e-05
REGULATION OF NEUTROPHIL ACTIVATION%GOBP%GO:1902563	REGULATION OF NEUTROPHIL ACTIVATION%GOBP%GO:1902563	1.49e-08	2.48699625e-05
PORPHYRIN METABOLISM%SMPDB%SMP0000024	PORPHYRIN METABOLISM%SMPDB%SMP0000024	3.23e-08	3.271485e-05
ACUTE INTERMITTENT PORPHYRIA%PATHWHIZ%PW000174	ACUTE INTERMITTENT PORPHYRIA%PATHWHIZ%PW000174	3.23e-08	3.271485e-05
PORPHYRIA VARIEGATA (PV)%SMPDB%SMP0000346	PORPHYRIA VARIEGATA (PV)%SMPDB%SMP0000346	3.23e-08	3.271485e-05
CONGENITAL ERYTHROPOIETIC PORPHYRIA (CEP) OR GUNTHER DISEASE%SMPDB%SMP0000345	CONGENITAL ERYTHROPOIETIC PORPHYRIA (CEP) OR GUNTHER DISEASE%SMPDB%SMP0000345	3.23e-08	3.271485e-05
HEREDITARY COPROPORPHYRIA (HCP)%SMPDB%SMP0000342	HEREDITARY COPROPORPHYRIA (HCP)%SMPDB%SMP0000342	3.23e-08	3.271485e-05
COLUMNAR/CUBOIDAL EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002066	COLUMNAR/CUBOIDAL EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002066	3.43e-08	3.271485e-05
GAMMA-DELTA T CELL ACTIVATION%GOBP%GO:0046629	GAMMA-DELTA T CELL ACTIVATION%GOBP%GO:0046629	3.9e-08	3.47178e-05
FORMATION OF AXIAL MESODERM%REACTOME DATABASE ID RELEASE 83%9796292	FORMATION OF AXIAL MESODERM%REACTOME DATABASE ID RELEASE 83%9796292	4.42e-08	3.68876625e-05
HEME BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 83%189451	HEME BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 83%189451	8.08e-08	6.00885e-05
LONG-CHAIN FATTY ACID ACTIVATION%BIOCYC%PWY-5143	LONG-CHAIN FATTY ACID ACTIVATION%BIOCYC%PWY-5143	8.1e-08	6.00885e-05
REGULATION OF RESPIRATORY BURST%GOBP%GO:0060263	REGULATION OF RESPIRATORY BURST%GOBP%GO:0060263	1.18e-07	8.29291578947368e-05
HEME BIOSYNTHESIS%PANTHER PATHWAY%P02746	HEME BIOSYNTHESIS%PANTHER PATHWAY%P02746	1.55e-07	0.000101101285714286
