logFC	logCPM	F	PValue	FDR	rank
STAT1	1.68136369812179	6.86074181213142	82.8460840622038	1.92836649261288e-15	2.39220291296936e-12	14.7148104234449
ADGRE5	1.65145180147102	6.16459348740858	79.9237881775303	4.6998875492371e-15	5.46596921976275e-12	14.3279125329856
TCF7	2.56816026496639	3.21211328277827	64.8941974502953	5.71751626339046e-13	3.12916301850499e-10	12.2427925913752
H1FX	1.35060705158072	8.26732716365157	63.5923450458288	8.82836620113935e-13	4.69366395059431e-10	12.0541196605766
H3F3C	1.48539373576851	2.60501705626651	61.1941520774604	1.98178080005885e-12	9.45563516089618e-10	11.7029443834478
LY6E	1.36031480452137	5.21722099611689	60.392930607102	2.602819617527e-12	1.18129920592542e-09	11.5845559286357
MX1	3.02954536334677	6.1098426012742	59.6712472879256	3.33075757873817e-12	1.47117952828789e-09	11.4774569752487
IFI6	2.53254988951814	4.19982944305981	59.5526962280942	3.46879346502909e-12	1.47117952828789e-09	11.4598215576582
HLA-B	1.2704960391603	8.81738895793276	59.5443621572972	3.47871341598599e-12	1.47117952828789e-09	11.4585813479073
LGALS3BP	1.9737720402575	5.29925101720725	59.1249998798041	4.01699516959529e-12	1.62496187208324e-09	11.3960986905037
NPY5R	7.09197888555438	1.50647356242417	58.4289109167078	5.10443300212421e-12	1.93843447558219e-09	11.2920524921127
EZR	1.11504639876224	7.4566211013453	58.3537410697907	5.2385164204896e-12	1.94956627104941e-09	11.2807916904252
OAS3	1.85634701632839	5.76093818297933	54.4052197504952	2.07824687622241e-11	5.85939664738584e-09	10.6823028636062
IFIT3	3.11948573422178	5.05514659350645	53.5501605739627	2.81283294829003e-11	7.69723463261484e-09	10.5508560594417
MOB3A	1.01859075688199	5.6652161814033	53.4683330606529	2.89573142560596e-11	7.69768148109653e-09	10.538241720716
PRDM8	1.47305591957588	4.55765501667844	53.1568553849045	3.23468059313145e-11	8.47759668690001e-09	10.490168597063
